Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Maintenance/Logout/div_Selengkapnya""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Setting and Privacy""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Setting - Privacy and safety""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.002s,NOT_RUN
"click(findTestObject(""Maintenance/Setting - Notification""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Setting - Content preferences""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Setting - Display""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Setting - Data Usage""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Setting - Accessibility""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Setting - About Twitter""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Button Home""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(15),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Logout/div_Selengkapnya""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.825s,PASSED
delay(5),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:50,5.003s,PASSED
"click(findTestObject(""Maintenance/Keluar/div_Keluar""))",Firefox 73.0,,,2020-02-26 15:59:50,2020-02-26 15:59:51,0.687s,PASSED
closeBrowser(),Firefox 73.0,,,2020-02-26 15:59:51,2020-02-26 15:59:58,7.108s,PASSED
